N;Mode;T_0;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;kfT_0;kfT_1;kfT_2;kfT_3;kfT_4;kfT_5;kfT_6;kfT_7;kfT_8;kfT_9;kfT_dot_0;kfT_dot_1;kfT_dot_2;kfT_dot_3;kfT_dot_4;kfT_dot_5;kfT_dot_6;kfT_dot_7;kfT_dot_8;kfT_dot_9;rwavT_0;rwavT_1;rwavT_2;rwavT_3;rwavT_4;rwavT_5;rwavT_6;rwavT_7;rwavT_8;rwavT_9;ma13T_0;ma13T_1;ma13T_2;ma13T_3;ma13T_4;ma13T_5;ma13T_6;ma13T_7;ma13T_8;ma13T_9;ma55T_0;ma55T_1;ma55T_2;ma55T_3;ma55T_4;ma55T_5;ma55T_6;ma55T_7;ma55T_8;ma55T_9;ma144T_0;ma144T_1;ma144T_2;ma144T_3;ma144T_4;ma144T_5;ma144T_6;ma144T_7;ma144T_8;ma144T_9;S_0;S_1;S_2;S_3;S_4;S_5;S_6;S_7;S_8;S_9;Lfc_0;Lfc_1;Lfc_2;Lfc_3;Lfc_4;Lfc_5;Lfc_6;Lfc_7;Lfc_8;Lfc_9
10;1;46.7024317929828;40.0293435457268;44.0010089774929;44.9263850776198;45.3828488787253;44.6491613539287;39.1316103282375;44.0611959119555;45.227431809047;52.3374144464456;49.0707229768418;42.495353646856;46.226899879804;46.6222913085653;47.9209303844351;46.9734652903335;41.7902062717843;46.6724520840003;47.394469920994;54.1883544106997;1.25975613078347;1.45670376470177;1.63313074389969;1.1258733122827;1.68481948913895;1.18082246574323;1.79005142967452;1.66740759621148;1.17619066220017;1.3181236306575;26.4657226455852;25.9564929043471;24.8850916472583;25.670175368656;26.5134512076451;27.6349891594205;28.089222779794;21.6468224381328;27.7452170873712;27.8893560369054;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;10;nan;nan;nan
11;4;51.1402599763809;43.8864781922059;49.152406346324;48.5033711303296;50.0941567678926;48.6014158164499;43.9226161744714;49.1452194388463;48.6542868070242;55.5890885275334;50.344617591197;43.9480338493914;47.8751276251809;47.7535508940483;49.6105700019402;48.1641751738954;43.5870363152816;48.3523884555861;48.5682052233031;55.5172685490178;1.20948595816435;1.80435723163379;1.5929514345254;1.23362888443946;1.84996281003994;1.25789604999947;1.91490266730752;1.71114687414061;1.43711505999088;1.30842379243483;27.2861676419839;26.7342055396158;25.6213495686399;26.4671893009097;27.309099443718;28.4895438814507;28.9035703619136;22.2964879689491;28.611262350686;28.7654520056809;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;11;nan;nan;nan
12;3;52.2700356213286;45.7307265116363;50.0681185075381;49.2417845652727;52.2634400905255;50.3634330725142;45.9659965712687;51.0575992495491;50.1465889962857;57.0839156883148;51.5772142757576;45.7641232697687;49.4878569781724;48.9974406937498;51.4768877618908;49.4432493847456;45.521709160134;50.0885067289523;50.0153531996269;56.851424772313;0.835692525019868;1.76307457828933;1.28525869504277;1.12357455906451;1.65935744126416;0.974396581480556;1.66503509377405;1.34409061565093;1.38662808608656;0.903848553530695;28.1849756128207;27.5581677766063;26.4287967107696;27.3272403101891;28.1610874908129;29.4105086395764;29.7866967104406;23.0021810976139;29.5332280692681;29.7208035343953;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;12;nan;nan;nan
13;3;53.187318934322;48.1500937567823;51.3867369254768;50.0962651719996;53.5461154809931;50.9761768767426;48.0176672733445;51.8665454962371;51.8291807816685;58.5499811031859;52.4395088172903;47.5547900150755;50.7968692329694;50.1370027018864;53.1565194210935;50.4424317245814;47.2158240837041;51.4612115477509;51.4232009811072;57.7934313726911;0.286848857381172;1.32674947589437;0.810328515711791;0.837445869147251;1.27014543743846;0.477749201030689;1.12150647542118;0.764340640067755;1.05070606256474;0.149448409582353;28.9658488622518;28.2441292349259;27.1220514580699;28.0549058038301;28.8745324832414;30.1985014118917;30.5382535968464;23.6077157725687;30.3056121733519;30.5510010585992;47.5078491110054;41.5177626363226;44.5617312290498;45.4813925156657;46.1179089009179;46.4884526706769;39.1733540156944;45.7436538966146;46.5284889337363;52.4158597138389;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;1;nan;nan;nan;nan;nan;nan;13;nan;nan;nan
14;3;53.8085824073189;50.2112442485427;52.4859834769092;52.5372270217053;55.2564330980517;52.70071311572;50.2266996909208;53.6588403482788;53.5567078474704;60.3687389148507;52.749613667394;48.9172394724221;51.6305433723171;50.9979502423085;54.4499193435011;50.9473498929677;48.3682549085597;52.2575300165101;52.5015715478643;57.9852689158953;-0.275338073295785;0.61272686393352;0.275374226466129;0.365580291766756;0.755957498701848;-0.150402521906712;0.43174523066081;0.049585309132674;0.51080024689647;-0.808168715095957;29.4813147968911;28.6628502787241;27.5608430462658;28.5075621875888;29.3059525269495;30.7040256688583;31.0103110011843;23.9970673697748;30.7798766954318;31.1096025694199;48.4821785407658;42.5544132004634;45.5385616489537;46.4211675044271;47.2525630993436;47.2458134834371;40.3761557914583;46.6760338672598;47.4187150787419;53.429707526463;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;0;nan;nan;nan;nan;nan;nan;14;nan;nan;0
15;2;53.3118934415722;51.1332751437902;52.9140161009973;51.7518643863843;56.134395371047;52.0740948250104;49.4193596220298;53.3119488114648;54.3533392363344;57.4424904897114;52.4832082463972;49.5604052572721;51.9212133469206;51.3750215354029;55.2237524090805;50.8104079482129;48.8143087737629;52.3257778814071;53.0345007360546;57.1980266347649;-0.619838378689232;-0.128942185787497;-0.162271721943093;0.005779063790755;0.278740564411124;-0.62740958939241;-0.060946251703802;-0.50770929710525;-0.021923869893033;-1.50729836732391;29.6284064096819;28.7331351782962;27.6512526616275;28.5986433592075;29.3628581258224;30.8303556705329;31.1036180206422;24.096413760867;30.8624058853133;31.3012914073117;49.2988371690799;43.5217281174788;46.4322547374372;47.2474788963718;48.3176825723325;47.8859599472021;41.5238026321249;47.5130295107093;48.2288442366679;54.2745247328365;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;0;nan;nan;nan;nan;nan;nan;15;nan;nan;0
16;0;50.6506373742143;48.5620538084432;50.9000610749068;50.67247662999;54.7801696658369;49.1054439730119;47.8806983528586;50.7881708109689;52.6474021860797;55.5047808596632;51.8520190415415;49.4433646752185;51.7581907579611;51.3835950231878;55.5074499693773;50.1777896789437;48.7531636328201;51.8176331107194;53.01709831501;55.6992916270483;-0.57000038126531;-0.598606708579454;-0.32126864513591;-0.180393718535208;0.018532309477232;-0.757505495857346;-0.256051144143807;-0.710771640490244;-0.287958716642682;-1.91743240212937;29.464558954616;28.5300909779554;27.4559961842204;28.3926961276356;29.1211389419075;30.6464517324974;30.8808545844182;23.9568783874733;30.6319690042208;31.1854473541249;49.8550294809827;44.3078139019955;47.1570594095156;47.8653230440386;49.2223231884035;48.314255067307;42.5189884337963;48.1399704307139;48.865501151344;54.827114110481;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;0;nan;nan;nan;nan;nan;nan;16;nan;nan;0
17;2;50.56089563992;48.948530883941;51.0553752167361;50.8633266969758;54.9892447703941;48.636570119637;47.7355761788684;50.7387261107528;52.0335939317708;53.514241229936;51.2721476959981;48.8575408566535;51.4358804951184;51.208189812457;55.5320946561543;49.4139582210549;48.4960605161956;51.1064318184133;52.7279945103354;53.7817146564557;-0.402572484548558;-0.981439563594154;-0.371087246988165;-0.333138222883219;-0.180405271192171;-0.722786699925338;-0.321649450085039;-0.784872564792935;-0.373117650547421;-2.07848689823356;29.1543874970705;28.2213406467206;27.1347431626564;28.0631876182435;28.7588410043805;30.3247071197237;30.5179005423343;23.7153389629443;30.2693326036654;30.9456833559443;50.16197621692;44.8846747119971;47.7096948202349;48.2782878053676;49.955554238992;48.5246198164384;43.3419665087738;48.5493461272208;49.3214130869175;55.0682393288098;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;0;nan;nan;nan;nan;nan;nan;17;nan;nan;0
18;2;50.3647699262209;48.0045473569455;50.4232491618627;50.7643981603903;55.9443973818189;48.0941487543417;48.3206209898235;50.0189796333266;51.8587598528017;50.7073864765057;50.864676012657;47.8840127042648;51.0638184084448;50.8828456226849;55.362174963851;48.6868105223397;48.1772935419164;50.3205865440261;52.3554063945165;51.6967007976973;-0.266618238089025;-1.25291900207147;-0.377332239227719;-0.513901151039331;-0.423500786688684;-0.643720235122361;-0.394387888418698;-0.799269210835748;-0.415542026143224;-2.04147357279612;28.76995079961;27.8810446738944;26.758956918613;27.6863735177655;28.3541501452719;29.9386358735872;30.0921110064401;23.429915310406;29.8484138187851;30.6530331953374;50.3249624678424;45.3089621147202;48.1604250355008;48.5671495000205;50.5843574571266;48.5975448641447;44.0449878197918;48.8245185162014;49.66753347022;55.0600934753989;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;0;nan;nan;nan;nan;nan;nan;18;nan;nan;0
19;2;50.8669377038132;47.1152193026934;51.2749178150749;51.3889861952329;55.2866872693976;48.539358793323;48.1751385474401;50.1402528648559;52.8414766833238;48.9920392508722;50.6013237483215;46.6330736134518;50.6916129848622;50.3792283384197;54.9432302695971;48.0432387287513;47.7841196640362;49.5218949083978;51.9450402378592;49.653219572562;-0.26807049459539;-1.39002025611273;-0.458266753374597;-0.743050416883408;-0.587509651574199;-0.612380248092354;-0.441997980705925;-0.814635088308325;-0.510552550207734;-1.99837363664879;28.3378826463758;27.5271004353308;26.3516006483349;27.2876471730292;27.9351643005074;29.5112021348807;29.6329041720629;23.1153561497617;29.3947702744559;30.3200875761141;50.450637126566;45.6428164418944;48.582359608012;48.8185193454168;51.1826006141215;48.6236473140169;44.6871140052348;49.054824760038;49.9801094387909;54.8811828807965;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;1;1;1;1;1;1;1;1;1;0;nan;nan;nan;nan;nan;nan;19;nan;nan;0
