N,GT,predict
444,0.0,0.01842726394534111
445,0.0,0.09445016831159592
446,1.0,0.8768664002418518
447,1.0,0.9768945574760437
448,1.0,0.9928486347198486
449,1.0,0.9957861304283142
450,1.0,0.9964331388473511
451,1.0,0.9968801736831665
452,1.0,0.9969774484634399
453,1.0,0.996950626373291
454,1.0,0.9968875050544739
455,1.0,0.9967750906944275
456,1.0,0.9965370893478394
457,1.0,0.9966063499450684
458,1.0,0.996303915977478
459,1.0,0.9961238503456116
460,1.0,0.9959208965301514
461,1.0,0.9953943490982056
462,1.0,0.9954288005828857
463,1.0,0.9951449036598206
464,1.0,0.9950573444366455
465,1.0,0.9950313568115234
466,1.0,0.9955680966377258
467,1.0,0.9956220984458923
468,1.0,0.9956294298171997
469,1.0,0.9950854182243347
470,1.0,0.994803249835968
471,1.0,0.9942722320556641
472,1.0,0.9918012022972107
473,1.0,0.9891554713249207
474,1.0,0.9801018238067627
475,1.0,0.9686515927314758
476,1.0,0.9583477973937988
477,1.0,0.9589989185333252
478,1.0,0.9476656317710876
479,1.0,0.972017228603363
480,1.0,0.9566822648048401
481,1.0,0.9285057187080383
482,1.0,0.9152889847755432
483,1.0,0.8223962783813477
484,1.0,0.745248019695282
485,1.0,0.6064488887786865
486,1.0,0.4042956829071045
487,1.0,0.27456021308898926
488,0.0,0.4133378863334656
489,0.0,0.17005816102027893
490,0.0,0.07870088517665863
491,0.0,0.03573298454284668
492,0.0,0.022803783416748047
493,0.0,0.005561226978898048
494,0.0,0.0062965103425085545
495,0.0,0.00555454334244132
496,0.0,0.007066243793815374
497,0.0,0.006792653352022171
498,0.0,0.008750987239181995
499,0.0,0.031803250312805176
500,0.0,0.08037620037794113
501,0.0,0.5548401474952698
502,1.0,0.9607348442077637
503,1.0,0.9931604862213135
504,1.0,0.9945287108421326
505,1.0,0.9962000250816345
506,1.0,0.9962142109870911
507,1.0,0.9969592094421387
508,1.0,0.9970735311508179
509,1.0,0.9970598816871643
510,1.0,0.9971510767936707
511,1.0,0.9971712231636047
512,1.0,0.9971168041229248
513,1.0,0.9970816969871521
514,1.0,0.9970146417617798
515,1.0,0.996863603591919
516,1.0,0.9965530633926392
517,1.0,0.996310293674469
518,1.0,0.9955944418907166
519,1.0,0.9950841069221497
520,1.0,0.9940337538719177
521,1.0,0.991447925567627
522,1.0,0.9893261194229126
523,1.0,0.9857059717178345
524,1.0,0.9882027506828308
525,1.0,0.9778861999511719
526,1.0,0.9857630729675293
527,1.0,0.976257860660553
528,1.0,0.9871770143508911
529,1.0,0.9883557558059692
530,1.0,0.9861180186271667
531,1.0,0.9887169599533081
532,1.0,0.9727645516395569
533,1.0,0.9454922676086426
534,0.0,0.9434812664985657
535,0.0,0.5611812472343445
536,0.0,0.2128678560256958
537,0.0,0.05683616176247597
538,0.0,0.033784881234169006
539,0.0,0.005221413914114237
540,0.0,0.004906816408038139
541,0.0,0.004794079344719648
542,0.0,0.005675314459949732
543,0.0,0.005466267000883818
544,0.0,0.006491153966635466
545,0.0,0.01436761487275362
546,0.0,0.045979131013154984
547,0.0,0.12557581067085266
548,1.0,0.7598457336425781
549,1.0,0.9874687194824219
550,1.0,0.9938433170318604
551,1.0,0.9960373640060425
552,1.0,0.9961318969726562
553,1.0,0.9968658089637756
554,1.0,0.996780514717102
555,1.0,0.9966109395027161
556,1.0,0.9963397979736328
557,1.0,0.9955803751945496
558,1.0,0.994899332523346
559,1.0,0.9933010339736938
560,1.0,0.9892880916595459
561,1.0,0.9849950671195984
562,1.0,0.9858394861221313
563,1.0,0.9737346172332764
564,1.0,0.9407634735107422
565,1.0,0.9440814256668091
566,1.0,0.9516657590866089
567,1.0,0.8103008270263672
568,1.0,0.9054951071739197
569,1.0,0.777285099029541
570,1.0,0.8207859396934509
571,1.0,0.8872138857841492
