N,GT,predict
444,0.0,0.0007798842270858586
445,0.0,0.001618342474102974
446,0.0,0.0038652431685477495
447,0.0,0.017995906993746758
448,0.0,0.08963248878717422
449,1.0,0.9521278142929077
450,1.0,0.9950756430625916
451,1.0,0.9998682737350464
452,1.0,0.999940037727356
453,1.0,0.9999536275863647
454,1.0,0.9999583959579468
455,1.0,0.9999598264694214
456,1.0,0.9999501705169678
457,1.0,0.9999525547027588
458,1.0,0.9999561309814453
459,1.0,0.999954342842102
460,1.0,0.9999521970748901
461,1.0,0.9999303817749023
462,1.0,0.9999432563781738
463,1.0,0.9999339580535889
464,1.0,0.9999394416809082
465,1.0,0.9999282360076904
466,1.0,0.9999279975891113
467,1.0,0.9999281167984009
468,1.0,0.9999274015426636
469,1.0,0.9999371767044067
470,1.0,0.9999204874038696
471,1.0,0.9999198913574219
472,1.0,0.9998366832733154
473,1.0,0.9998286962509155
474,1.0,0.9994662404060364
475,1.0,0.9994331002235413
476,1.0,0.9994341731071472
477,1.0,0.9992627501487732
478,1.0,0.9993436932563782
479,1.0,0.9991788268089294
480,1.0,0.9993923902511597
481,1.0,0.9990125894546509
482,1.0,0.9993222951889038
483,1.0,0.9954948425292969
484,1.0,0.998275876045227
485,1.0,0.9971454739570618
486,1.0,0.9872608184814453
487,1.0,0.9712697267532349
488,1.0,0.9639613032341003
489,1.0,0.933635413646698
490,1.0,0.8788518905639648
491,0.0,0.1607109159231186
492,0.0,0.10278201848268509
493,0.0,0.0005125445895828307
494,0.0,0.0003692237369250506
495,0.0,0.0002828707511071116
496,0.0,0.000199858084670268
497,0.0,0.00018275303591508418
498,0.0,0.00015270221047103405
499,0.0,0.00023764547950122505
500,0.0,0.0004707730549853295
501,0.0,0.0007534515461884439
502,0.0,0.0026243010070174932
503,0.0,0.02425408363342285
504,0.0,0.09160610288381577
505,1.0,0.9399193525314331
506,1.0,0.9852149486541748
507,1.0,0.9998528957366943
508,1.0,0.9999284744262695
509,1.0,0.9999525547027588
510,1.0,0.9999563694000244
511,1.0,0.9999608993530273
512,1.0,0.9999659061431885
513,1.0,0.9999668598175049
514,1.0,0.9999681711196899
515,1.0,0.9999659061431885
516,1.0,0.9999585151672363
517,1.0,0.9999622106552124
518,1.0,0.9999450445175171
519,1.0,0.9999505281448364
520,1.0,0.9999414682388306
521,1.0,0.9998830556869507
522,1.0,0.999880313873291
523,1.0,0.9998317956924438
524,1.0,0.9997814297676086
525,1.0,0.9996902942657471
