N,GT,predict
444,1.0,0.9124143719673157
445,1.0,0.978580117225647
446,1.0,0.9896112680435181
447,1.0,0.9971364736557007
448,1.0,0.9983880519866943
449,1.0,0.9985777139663696
450,1.0,0.999245285987854
451,1.0,0.9993390440940857
452,1.0,0.9990416169166565
453,1.0,0.998941957950592
454,1.0,0.9990957975387573
455,1.0,0.9980918765068054
456,1.0,0.9968429803848267
457,1.0,0.9919036030769348
458,1.0,0.9920651316642761
459,1.0,0.9865821599960327
460,1.0,0.978296160697937
461,1.0,0.9718837141990662
462,1.0,0.9535015225410461
463,1.0,0.9802594184875488
464,1.0,0.9811375141143799
465,1.0,0.9879381060600281
466,1.0,0.9817440509796143
467,1.0,0.9838830828666687
468,1.0,0.9812313914299011
469,1.0,0.9839963316917419
470,1.0,0.9702670574188232
471,1.0,0.8410516381263733
472,1.0,0.76697838306427
473,1.0,0.6428609490394592
474,1.0,0.6135813593864441
475,1.0,0.7336490750312805
476,1.0,0.8142462968826294
477,1.0,0.75972980260849
478,1.0,0.8959912657737732
479,1.0,0.8241400718688965
480,1.0,0.7301774621009827
481,1.0,0.7520148754119873
482,1.0,0.6218989491462708
483,0.0,0.5217519998550415
484,0.0,0.44462186098098755
485,0.0,0.36185523867607117
486,0.0,0.35266974568367004
487,0.0,0.3741738498210907
488,0.0,0.20941494405269623
489,0.0,0.0997440442442894
490,0.0,0.08046527206897736
491,0.0,0.05832722783088684
492,0.0,0.08147792518138885
493,0.0,0.03353001922369003
494,0.0,0.062884122133255
495,0.0,0.200099915266037
496,1.0,0.5933350324630737
497,1.0,0.9300652146339417
498,1.0,0.981105387210846
499,1.0,0.9918280839920044
500,1.0,0.997931957244873
501,1.0,0.9988176226615906
502,1.0,0.9992006421089172
503,1.0,0.9991948008537292
504,1.0,0.9994596838951111
505,1.0,0.9992271661758423
506,1.0,0.9996792078018188
507,1.0,0.9997003078460693
508,1.0,0.9996461868286133
509,1.0,0.9997217059135437
510,1.0,0.9997007846832275
511,1.0,0.9996830224990845
512,1.0,0.9996259212493896
513,1.0,0.9992678761482239
514,1.0,0.9983481168746948
515,1.0,0.9893883466720581
516,1.0,0.9760599732398987
517,1.0,0.9435772895812988
518,1.0,0.9019058346748352
519,1.0,0.8454934358596802
520,1.0,0.7064647674560547
521,1.0,0.5392392873764038
522,1.0,0.4758175313472748
523,1.0,0.47329476475715637
524,1.0,0.35394421219825745
525,1.0,0.5652300119400024
526,1.0,0.479519248008728
527,0.0,0.7536947727203369
528,0.0,0.7329544425010681
529,0.0,0.793692946434021
530,0.0,0.6986615061759949
531,0.0,0.4634552597999573
532,0.0,0.3285987973213196
533,0.0,0.1587996631860733
534,0.0,0.04926237836480141
535,0.0,0.05215343087911606
536,0.0,0.06175491586327553
537,0.0,0.021881813183426857
538,0.0,0.027770094573497772
539,0.0,0.12369833886623383
540,0.0,0.30153894424438477
541,0.0,0.5498926043510437
542,0.0,0.6544203758239746
543,1.0,0.9196836948394775
544,1.0,0.9739888906478882
545,1.0,0.9870766997337341
546,1.0,0.9955446124076843
547,1.0,0.9986057877540588
548,1.0,0.9991727471351624
549,1.0,0.9992284774780273
550,1.0,0.999523401260376
551,1.0,0.999565064907074
552,1.0,0.9996533393859863
553,1.0,0.9997113347053528
554,1.0,0.9990129470825195
555,1.0,0.9963104128837585
556,1.0,0.9832842946052551
557,1.0,0.9254729151725769
558,1.0,0.8693179488182068
559,1.0,0.8043705224990845
560,1.0,0.754538357257843
561,1.0,0.8146252036094666
562,1.0,0.6593723893165588
563,1.0,0.5281196236610413
564,1.0,0.6502702832221985
565,1.0,0.4363858103752136
566,1.0,0.4631018340587616
567,1.0,0.6883009076118469
568,1.0,0.7092975378036499
569,1.0,0.8985677361488342
570,1.0,0.9514500498771667
571,1.0,0.9743707180023193
572,1.0,0.9640207886695862
573,1.0,0.9807451963424683
574,1.0,0.9769405126571655
