N,GT,predict
444,1.0,0.9989542961120605
445,1.0,0.9989907145500183
446,1.0,0.9990179538726807
447,1.0,0.9990912675857544
448,1.0,0.9990453124046326
449,1.0,0.9990594983100891
450,1.0,0.998977541923523
451,1.0,0.9983739852905273
452,1.0,0.9981156587600708
453,1.0,0.9967597126960754
454,1.0,0.9952718615531921
455,1.0,0.992414653301239
456,1.0,0.9875178933143616
457,1.0,0.9684905409812927
458,1.0,0.8978731632232666
459,1.0,0.7004929780960083
460,1.0,0.3797810971736908
461,1.0,0.15873649716377258
462,1.0,0.14377032220363617
463,1.0,0.055958524346351624
464,1.0,0.019555067643523216
465,1.0,0.03301540017127991
466,1.0,0.026191867887973785
467,1.0,0.02905619703233242
468,1.0,0.034681130200624466
469,1.0,0.02917122095823288
470,1.0,0.09759673476219177
471,1.0,0.18422336876392365
472,0.0,0.17337197065353394
473,0.0,0.5086187720298767
474,0.0,0.6288584470748901
475,0.0,0.9096246957778931
476,0.0,0.907281756401062
477,0.0,0.9752877354621887
478,0.0,0.9730466604232788
479,0.0,0.9851127862930298
480,0.0,0.9924992918968201
481,0.0,0.9957439303398132
482,0.0,0.9954110980033875
483,0.0,0.9969832301139832
484,0.0,0.9977619647979736
485,0.0,0.9983096122741699
486,0.0,0.9988693594932556
487,0.0,0.9990072846412659
488,1.0,0.9989773035049438
489,1.0,0.9990411400794983
490,1.0,0.9990389347076416
491,1.0,0.9990757703781128
492,1.0,0.9991445541381836
493,1.0,0.9992504715919495
494,1.0,0.9992252588272095
495,1.0,0.9992431402206421
496,1.0,0.9992091059684753
497,1.0,0.9992280006408691
498,1.0,0.9992011189460754
499,1.0,0.9991480112075806
500,1.0,0.9991193413734436
501,1.0,0.999131977558136
502,1.0,0.999092698097229
503,1.0,0.9989615678787231
504,1.0,0.9989537000656128
505,1.0,0.9987732768058777
506,1.0,0.9987871050834656
507,1.0,0.99874347448349
508,1.0,0.9985882639884949
509,1.0,0.9982871413230896
510,1.0,0.9980325102806091
511,1.0,0.9982518553733826
512,1.0,0.9986415505409241
513,1.0,0.998700737953186
514,1.0,0.9985151886940002
515,1.0,0.998799204826355
516,0.0,0.9987962245941162
517,0.0,0.998722493648529
518,0.0,0.9988839030265808
519,0.0,0.9987961053848267
520,0.0,0.9988056421279907
521,0.0,0.9989088773727417
522,0.0,0.9989707469940186
523,0.0,0.9989808201789856
524,0.0,0.9988675117492676
525,0.0,0.9989520311355591
526,0.0,0.9987649917602539
527,0.0,0.9988164901733398
528,0.0,0.9984418749809265
529,0.0,0.9980654120445251
530,1.0,0.9978371262550354
531,1.0,0.9955636262893677
532,1.0,0.9929787516593933
533,1.0,0.9836732149124146
534,1.0,0.9515786170959473
535,1.0,0.8599738478660583
536,1.0,0.8717747330665588
537,1.0,0.9797764420509338
538,1.0,0.990699827671051
539,1.0,0.9918888211250305
540,1.0,0.9974368810653687
541,1.0,0.9985055923461914
542,1.0,0.9987439513206482
543,1.0,0.9989983439445496
544,1.0,0.9991672039031982
545,1.0,0.9991662502288818
546,1.0,0.9991840720176697
547,1.0,0.9992095232009888
548,1.0,0.999202311038971
549,1.0,0.9991625547409058
550,1.0,0.9991912245750427
551,1.0,0.9989640712738037
552,1.0,0.9989786148071289
553,1.0,0.9989232420921326
554,1.0,0.9988279938697815
555,1.0,0.9984071850776672
556,1.0,0.9984583854675293
557,1.0,0.9978827834129333
558,1.0,0.9971122741699219
559,1.0,0.9943891167640686
560,1.0,0.9675277471542358
561,1.0,0.908117949962616
562,0.0,0.33267122507095337
563,0.0,0.12819421291351318
564,0.0,0.014959018677473068
565,0.0,0.012795536778867245
566,0.0,0.00397254154086113
567,0.0,0.0026879115030169487
568,0.0,0.0024540654849261045
569,0.0,0.001975695136934519
570,0.0,0.0023828265257179737
571,0.0,0.003912230953574181
572,0.0,0.02541232295334339
573,0.0,0.06592976301908493
574,1.0,0.6254739761352539
575,1.0,0.9714654684066772
576,1.0,0.9970583915710449
577,1.0,0.998606264591217
