N,GT,predict
444,1.0,0.9996036887168884
445,1.0,0.9998177886009216
446,1.0,0.9998898506164551
447,1.0,0.9999288320541382
448,1.0,0.9999556541442871
449,1.0,0.9999586343765259
450,1.0,0.9999579191207886
451,1.0,0.9999594688415527
452,1.0,0.9999396800994873
453,1.0,0.9999085664749146
454,1.0,0.9998576641082764
455,1.0,0.999772846698761
456,1.0,0.9997727274894714
457,1.0,0.999484658241272
458,1.0,0.999381422996521
459,1.0,0.9989925026893616
460,1.0,0.9984796643257141
461,1.0,0.9986611604690552
462,1.0,0.9979669451713562
463,1.0,0.9980904459953308
464,1.0,0.9982970356941223
465,1.0,0.998848557472229
466,1.0,0.9989014863967896
467,1.0,0.9989483952522278
468,1.0,0.998595654964447
469,1.0,0.998524010181427
470,1.0,0.9978029131889343
471,1.0,0.9938303828239441
472,1.0,0.9902348518371582
473,1.0,0.9779690504074097
474,1.0,0.9867376685142517
475,1.0,0.9906065464019775
476,1.0,0.9947341680526733
477,1.0,0.9940699934959412
478,1.0,0.9932558536529541
479,1.0,0.9826117753982544
480,1.0,0.9350368976593018
481,1.0,0.7513473033905029
482,0.0,0.45761922001838684
483,0.0,0.3234960734844208
484,0.0,0.15227653086185455
485,0.0,0.0913693755865097
486,0.0,0.06310613453388214
487,0.0,0.053504012525081635
488,0.0,0.03841356560587883
489,0.0,0.009842892177402973
490,0.0,0.0041807531379163265
491,0.0,0.0035574871581047773
492,0.0,0.0034887236542999744
493,0.0,0.019264083355665207
494,1.0,0.13195763528347015
495,1.0,0.4749137759208679
496,1.0,0.9135133624076843
497,1.0,0.985680341720581
498,1.0,0.9986773133277893
499,1.0,0.9995660185813904
500,1.0,0.9998539686203003
501,1.0,0.9999123811721802
502,1.0,0.9999349117279053
503,1.0,0.9999345541000366
504,1.0,0.9999411106109619
505,1.0,0.9998667240142822
506,1.0,0.9999157190322876
507,1.0,0.9999192953109741
508,1.0,0.9999254941940308
509,1.0,0.9999452829360962
510,1.0,0.9999393224716187
511,1.0,0.9999362230300903
512,1.0,0.9999344348907471
513,1.0,0.9999096393585205
514,1.0,0.9998636245727539
515,1.0,0.9997463822364807
516,1.0,0.9996625185012817
517,1.0,0.9993953704833984
518,1.0,0.9993222951889038
519,1.0,0.9986491799354553
520,1.0,0.9967908263206482
521,1.0,0.993976354598999
522,1.0,0.9822417497634888
523,1.0,0.9597106575965881
524,1.0,0.8840413093566895
525,1.0,0.7844455242156982
