N,GT,predict
444,1.0,0.966805636882782
445,1.0,0.9945188164710999
446,1.0,0.9989246726036072
447,1.0,0.9994300007820129
448,1.0,0.9997039437294006
449,1.0,0.9998238682746887
450,1.0,0.9997909665107727
451,1.0,0.9998844861984253
452,1.0,0.9998713731765747
453,1.0,0.9998043179512024
454,1.0,0.999699592590332
455,1.0,0.9995077848434448
456,1.0,0.9993377327919006
457,1.0,0.999215841293335
458,1.0,0.9990307092666626
459,1.0,0.9987354874610901
460,1.0,0.9983423948287964
461,1.0,0.9978175163269043
462,1.0,0.9982442855834961
463,1.0,0.9977113008499146
464,1.0,0.9983670115470886
465,1.0,0.9984861016273499
466,1.0,0.998913049697876
467,1.0,0.9989287257194519
468,1.0,0.9987258315086365
469,1.0,0.9982668161392212
470,1.0,0.9962002635002136
471,1.0,0.9937762022018433
472,1.0,0.9809224009513855
473,1.0,0.9573326110839844
474,1.0,0.9561510682106018
475,1.0,0.9484410285949707
476,1.0,0.9705425500869751
477,1.0,0.9793367385864258
478,1.0,0.9771660566329956
479,1.0,0.9793955683708191
480,1.0,0.9669257402420044
481,1.0,0.8730852007865906
482,1.0,0.8190752267837524
483,1.0,0.6897985339164734
484,1.0,0.5726627111434937
485,0.0,0.45916980504989624
486,0.0,0.28060442209243774
487,0.0,0.23156671226024628
488,0.0,0.2694535255432129
489,0.0,0.09828899800777435
490,0.0,0.029797663912177086
491,0.0,0.01596454530954361
492,0.0,0.00992641318589449
493,0.0,0.001736404374241829
494,0.0,0.004389576613903046
495,0.0,0.009697919711470604
496,0.0,0.02613314613699913
497,0.0,0.04991260915994644
498,0.0,0.25556227564811707
499,1.0,0.7675471305847168
500,1.0,0.9526680707931519
501,1.0,0.9868482947349548
502,1.0,0.9967719912528992
503,1.0,0.9992163181304932
504,1.0,0.9994696974754333
505,1.0,0.9996408224105835
506,1.0,0.9996687173843384
507,1.0,0.9998407363891602
508,1.0,0.9998594522476196
509,1.0,0.999882698059082
510,1.0,0.9998573064804077
511,1.0,0.9998471736907959
512,1.0,0.9998452663421631
513,1.0,0.9997742772102356
514,1.0,0.999546229839325
515,1.0,0.9989573955535889
516,1.0,0.9963164329528809
517,1.0,0.9914672374725342
518,1.0,0.9836855530738831
519,1.0,0.973967432975769
520,1.0,0.9536822438240051
521,1.0,0.9335043430328369
522,1.0,0.9127145409584045
523,1.0,0.9173457026481628
524,1.0,0.9569064974784851
525,1.0,0.9332469701766968
526,1.0,0.9694226384162903
527,1.0,0.9610676765441895
528,1.0,0.983674943447113
529,1.0,0.9842368960380554
530,1.0,0.9776279330253601
531,0.0,0.9459956884384155
532,0.0,0.8194996118545532
533,0.0,0.6053810715675354
534,0.0,0.3584594428539276
535,0.0,0.10229340940713882
536,0.0,0.023500947281718254
537,0.0,0.018887687474489212
538,0.0,0.01469360664486885
539,0.0,0.002464165911078453
540,0.0,0.003041316056624055
541,0.0,0.006212705280631781
542,0.0,0.02279466949403286
543,0.0,0.05540521815419197
544,0.0,0.12304438650608063
545,1.0,0.6178191900253296
546,1.0,0.9307191371917725
547,1.0,0.9839440584182739
548,1.0,0.9964386224746704
549,1.0,0.9990459084510803
550,1.0,0.999584972858429
551,1.0,0.9996843338012695
552,1.0,0.9996652603149414
553,1.0,0.9997760653495789
554,1.0,0.999672532081604
555,1.0,0.9989746809005737
556,1.0,0.996191143989563
557,1.0,0.991285502910614
558,1.0,0.9736047983169556
559,1.0,0.9306212663650513
560,1.0,0.8882242441177368
561,1.0,0.8072834014892578
562,1.0,0.8285264372825623
563,1.0,0.7226064205169678
564,1.0,0.6012251377105713
565,1.0,0.5941662788391113
566,1.0,0.5873793959617615
567,1.0,0.5501664280891418
568,1.0,0.7333810329437256
569,1.0,0.7767834663391113
570,1.0,0.8756870031356812
571,1.0,0.940679669380188
572,1.0,0.971438467502594
573,1.0,0.9776473045349121
574,1.0,0.9842731952667236
575,1.0,0.9874187111854553
576,1.0,0.9755495190620422
577,1.0,0.9717364311218262
578,1.0,0.9801557660102844
579,1.0,0.9683858752250671
580,1.0,0.9749626517295837
581,1.0,0.9617848992347717
582,1.0,0.9285393357276917
583,1.0,0.8396714925765991
584,1.0,0.7165151238441467
585,1.0,0.8274900913238525
586,1.0,0.8051801919937134
587,1.0,0.8931616544723511
588,1.0,0.8413819074630737
589,1.0,0.701448917388916
590,0.0,0.4256536364555359
591,0.0,0.32062238454818726
592,0.0,0.26518386602401733
593,0.0,0.3142683506011963
594,0.0,0.2117195427417755
