N,GT,predict
444,0.0,0.025184454396367073
445,0.0,0.13370254635810852
446,0.0,0.5579012036323547
447,1.0,0.8872405290603638
448,1.0,0.9764533042907715
449,1.0,0.9982151985168457
450,1.0,0.998940646648407
451,1.0,0.9998664855957031
452,1.0,0.9999139308929443
453,1.0,0.9999169111251831
454,1.0,0.9999226331710815
455,1.0,0.999923825263977
456,1.0,0.9999120235443115
457,1.0,0.9999057054519653
458,1.0,0.9999063014984131
459,1.0,0.9998979568481445
460,1.0,0.9998879432678223
461,1.0,0.999840259552002
462,1.0,0.9998672008514404
463,1.0,0.9998168349266052
464,1.0,0.9998164772987366
465,1.0,0.9997959733009338
466,1.0,0.9997908473014832
467,1.0,0.9997943043708801
468,1.0,0.9997895359992981
469,1.0,0.9998096823692322
470,1.0,0.9997552037239075
471,1.0,0.9997567534446716
472,1.0,0.9992714524269104
473,1.0,0.9987903237342834
474,1.0,0.994492769241333
475,1.0,0.9906938672065735
476,1.0,0.9897927045822144
477,1.0,0.99327552318573
478,1.0,0.9936019778251648
479,1.0,0.9941905736923218
480,1.0,0.9971290230751038
481,1.0,0.993988037109375
482,1.0,0.9946843981742859
483,1.0,0.9770604372024536
484,1.0,0.9795692563056946
485,1.0,0.9658105969429016
486,1.0,0.901506781578064
487,1.0,0.822960376739502
488,1.0,0.7852469086647034
489,0.0,0.7896878719329834
490,0.0,0.594918429851532
491,0.0,0.2005264312028885
492,0.0,0.11640988290309906
493,0.0,0.0013436536537483335
494,0.0,0.001490112510509789
495,0.0,0.0022515817545354366
496,0.0,0.002221907489001751
497,0.0,0.0030140019953250885
498,0.0,0.004723471123725176
499,0.0,0.017528146505355835
500,0.0,0.09309400618076324
501,1.0,0.3211174011230469
502,1.0,0.7778000235557556
503,1.0,0.9682934284210205
504,1.0,0.977313220500946
505,1.0,0.9993777275085449
506,1.0,0.9994403719902039
507,1.0,0.999544084072113
508,1.0,0.9996761083602905
509,1.0,0.9998188614845276
510,1.0,0.9998173117637634
511,1.0,0.9998513460159302
512,1.0,0.9998948574066162
513,1.0,0.9999022483825684
514,1.0,0.9998980760574341
515,1.0,0.9998964071273804
516,1.0,0.9998282194137573
517,1.0,0.999822199344635
518,1.0,0.9995996356010437
519,1.0,0.999550998210907
520,1.0,0.9992747902870178
521,1.0,0.997255265712738
522,1.0,0.995993971824646
523,1.0,0.9930077791213989
524,1.0,0.9918200969696045
525,1.0,0.9896647334098816
526,1.0,0.9924110174179077
527,1.0,0.9930665493011475
528,1.0,0.9956600069999695
529,1.0,0.9966388940811157
530,1.0,0.9982391595840454
531,1.0,0.9961203336715698
532,1.0,0.9860840439796448
533,0.0,0.933230996131897
534,0.0,0.8122721314430237
535,0.0,0.22515720129013062
536,0.0,0.0598621666431427
537,0.0,0.0007895051967352629
538,0.0,0.0007851547561585903
539,0.0,0.0004966957494616508
540,0.0,0.00045118635171093047
541,0.0,0.000509904173668474
542,0.0,0.0007175157661549747
543,0.0,0.0011749827535822988
544,0.0,0.0019047382520511746
545,0.0,0.004948253743350506
546,0.0,0.015519078820943832
547,0.0,0.030326666310429573
548,0.0,0.1028372272849083
549,0.0,0.5785039663314819
550,1.0,0.9524515867233276
551,1.0,0.9884617328643799
552,1.0,0.9949107766151428
553,1.0,0.9978724718093872
554,1.0,0.9998451471328735
555,1.0,0.99983811378479
556,1.0,0.9998071789741516
557,1.0,0.9997537732124329
558,1.0,0.9996851682662964
559,1.0,0.9995375871658325
560,1.0,0.9989981055259705
561,1.0,0.9987078905105591
562,1.0,0.9981310963630676
563,1.0,0.9985583424568176
564,1.0,0.9953509569168091
565,1.0,0.9974651336669922
566,1.0,0.995032787322998
567,1.0,0.988030731678009
568,1.0,0.9900099635124207
569,1.0,0.9921869039535522
570,1.0,0.9946211576461792
571,1.0,0.9968116879463196
572,1.0,0.9985176920890808
573,1.0,0.9987340569496155
574,1.0,0.9990171194076538
575,1.0,0.9988528490066528
576,1.0,0.9983813762664795
577,1.0,0.9976213574409485
578,1.0,0.9975971579551697
579,1.0,0.9942779541015625
580,1.0,0.9936543703079224
581,1.0,0.9893187880516052
582,1.0,0.9845096468925476
583,1.0,0.8816019296646118
584,1.0,0.71591717004776
585,1.0,0.6246961951255798
586,1.0,0.31887635588645935
587,1.0,0.4221132695674896
588,0.0,0.3467004895210266
589,0.0,0.2059217095375061
590,0.0,0.08395426720380783
591,0.0,0.05178464204072952
592,0.0,0.0009520516614429653
593,0.0,0.0013946805847808719
594,0.0,0.0009895773837342858
595,0.0,0.0011006419081240892
596,0.0,0.0012437576660886407
597,0.0,0.0016638997476547956
598,0.0,0.0019163386896252632
599,0.0,0.00634324224665761
600,0.0,0.0322241485118866
601,1.0,0.0585731603205204
602,1.0,0.3598012924194336
603,1.0,0.8953932523727417
604,1.0,0.9837819337844849
605,1.0,0.999536395072937
606,1.0,0.9997219443321228
607,1.0,0.9997897744178772
608,1.0,0.9998443126678467
609,1.0,0.9998399019241333
610,1.0,0.9998462200164795
611,1.0,0.9998887777328491
612,1.0,0.9998955726623535
613,1.0,0.9998714923858643
614,1.0,0.9998958110809326
615,1.0,0.9998559951782227
616,1.0,0.9998410940170288
617,1.0,0.9997298121452332
618,1.0,0.9995400905609131
619,1.0,0.9993313550949097
620,1.0,0.9988164901733398
621,1.0,0.9983839988708496
622,1.0,0.9979629516601562
623,1.0,0.9893830418586731
624,1.0,0.9640762805938721
625,1.0,0.9198616147041321
626,1.0,0.870181143283844
627,1.0,0.819633960723877
628,1.0,0.3311740756034851
629,1.0,0.12712837755680084
630,0.0,0.1646106243133545
631,0.0,0.07793924957513809
632,0.0,0.06079305335879326
633,0.0,0.05390308052301407
634,0.0,0.0008020920213311911
635,0.0,0.0007678515976294875
636,0.0,0.0005602692253887653
637,0.0,0.0005593322566710413
638,0.0,0.0005843878025189042
639,0.0,0.0005526106106117368
640,0.0,0.0006153261056169868
641,0.0,0.0014805869432166219
642,0.0,0.0024450726341456175
643,0.0,0.010516966693103313
644,0.0,0.02689075842499733
645,0.0,0.15841637551784515
646,1.0,0.742118775844574
647,1.0,0.9687433242797852
648,1.0,0.9941803216934204
649,1.0,0.9964374303817749
650,1.0,0.9997890591621399
651,1.0,0.9997144341468811
652,1.0,0.9997386336326599
653,1.0,0.9996135830879211
654,1.0,0.9995239973068237
655,1.0,0.9992519021034241
656,1.0,0.9986446499824524
657,1.0,0.9945159554481506
658,1.0,0.9854838252067566
659,1.0,0.9604558348655701
660,1.0,0.7277101278305054
661,1.0,0.3954910635948181
662,1.0,0.35475602746009827
663,1.0,0.3430277109146118
664,1.0,0.48289036750793457
665,1.0,0.40442919731140137
666,1.0,0.4578239619731903
667,0.0,0.5290523171424866
668,0.0,0.1640489548444748
669,0.0,0.13970378041267395
670,0.0,0.029384400695562363
671,0.0,0.0006522536859847605
672,0.0,0.0004595178470481187
673,0.0,0.0004778123984578997
674,0.0,0.000665993255097419
675,0.0,0.0006309886812232435
676,0.0,0.0006235909531824291
677,0.0,0.0011026511201635003
678,0.0,0.0013461270136758685
