N,GT,predict
444,0.0,0.04279254376888275
445,0.0,0.2145739644765854
446,0.0,0.6188352108001709
447,1.0,0.9048429131507874
448,1.0,0.973473846912384
449,1.0,0.9955360889434814
450,1.0,0.9970155954360962
451,1.0,0.997512936592102
452,1.0,0.9996998310089111
453,1.0,0.999648928642273
454,1.0,0.9996041655540466
455,1.0,0.9995481371879578
456,1.0,0.9993211030960083
457,1.0,0.9991666078567505
458,1.0,0.9992051720619202
459,1.0,0.9990034699440002
460,1.0,0.9987058639526367
461,1.0,0.9972163438796997
462,1.0,0.9977152347564697
463,1.0,0.9959398508071899
464,1.0,0.996271014213562
465,1.0,0.9956707954406738
466,1.0,0.9957965612411499
467,1.0,0.9963980913162231
468,1.0,0.996572732925415
469,1.0,0.9975951313972473
470,1.0,0.9957050681114197
471,1.0,0.9943349957466125
472,1.0,0.9712764620780945
473,1.0,0.9305440187454224
474,1.0,0.8005884289741516
475,1.0,0.7176466584205627
476,1.0,0.7987176775932312
477,1.0,0.8261258006095886
478,1.0,0.8656677007675171
479,1.0,0.8492665886878967
480,1.0,0.9002134799957275
481,1.0,0.7750113606452942
482,1.0,0.8263528943061829
483,1.0,0.6230370402336121
484,1.0,0.710536003112793
485,1.0,0.6965052485466003
486,1.0,0.4827086925506592
487,1.0,0.36752641201019287
488,0.0,0.31354472041130066
489,0.0,0.2646203637123108
490,0.0,0.17029133439064026
491,0.0,0.06627532094717026
492,0.0,0.04580000415444374
493,0.0,0.001475309138186276
494,0.0,0.001720244181342423
495,0.0,0.0030772886238992214
496,0.0,0.003519178833812475
497,0.0,0.0064159263856709
498,0.0,0.011939932592213154
499,0.0,0.04096704348921776
500,0.0,0.3085126280784607
501,1.0,0.6891545057296753
502,1.0,0.940069317817688
503,1.0,0.9904688000679016
504,1.0,0.9962562322616577
505,1.0,0.9983001351356506
506,1.0,0.9997339844703674
507,1.0,0.9997796416282654
508,1.0,0.9998133778572083
509,1.0,0.9998729228973389
510,1.0,0.999855637550354
511,1.0,0.9998633861541748
512,1.0,0.9998847246170044
513,1.0,0.9998680353164673
514,1.0,0.9998267292976379
515,1.0,0.9997662901878357
516,1.0,0.9995216131210327
517,1.0,0.9994146823883057
518,1.0,0.99853515625
519,1.0,0.9982191920280457
520,1.0,0.9964918494224548
521,1.0,0.9848353862762451
522,1.0,0.9700405597686768
523,1.0,0.9205442667007446
524,1.0,0.8529413938522339
525,1.0,0.736233115196228
526,1.0,0.7018643021583557
527,1.0,0.6200634837150574
528,1.0,0.636260449886322
529,1.0,0.614887535572052
530,1.0,0.6108644604682922
531,0.0,0.3366376459598541
532,0.0,0.15380996465682983
533,0.0,0.06571745127439499
534,0.0,0.04118446633219719
535,0.0,0.025905344635248184
536,0.0,0.0010564277181401849
537,0.0,0.0012126051587983966
538,0.0,0.001460266183130443
539,0.0,0.0014657980063930154
540,0.0,0.0017237664433196187
541,0.0,0.0026975844521075487
542,0.0,0.0061511145904660225
543,0.0,0.034546323120594025
544,0.0,0.12485357373952866
545,1.0,0.576360821723938
546,1.0,0.9244982600212097
547,1.0,0.9800524711608887
548,1.0,0.9922577738761902
549,1.0,0.9960284233093262
550,1.0,0.9996310472488403
551,1.0,0.9994575381278992
552,1.0,0.9994638562202454
553,1.0,0.999468982219696
554,1.0,0.9994848966598511
555,1.0,0.9992305040359497
556,1.0,0.9985752105712891
557,1.0,0.9958387613296509
558,1.0,0.9924649000167847
559,1.0,0.9811455607414246
560,1.0,0.941472053527832
561,1.0,0.9254171252250671
562,1.0,0.894798994064331
563,1.0,0.91219162940979
564,1.0,0.7903732657432556
565,1.0,0.8464285731315613
566,1.0,0.7272310853004456
567,1.0,0.5958088040351868
568,1.0,0.626265823841095
569,1.0,0.754271388053894
570,1.0,0.8370240926742554
571,1.0,0.9018012285232544
572,1.0,0.9220860600471497
573,1.0,0.9292306900024414
574,1.0,0.9323002099990845
575,1.0,0.8834976553916931
576,1.0,0.7865597009658813
577,1.0,0.6132709980010986
578,1.0,0.6009680032730103
579,0.0,0.2935294210910797
580,0.0,0.3012721538543701
581,0.0,0.23992682993412018
582,0.0,0.17055973410606384
583,0.0,0.07663752138614655
584,0.0,0.002133862115442753
585,0.0,0.002718349453061819
586,0.0,0.002906148787587881
587,0.0,0.0052087875083088875
588,0.0,0.009589369408786297
589,0.0,0.024983171373605728
590,0.0,0.06231890991330147
591,0.0,0.20092353224754333
592,1.0,0.5262534022331238
593,1.0,0.9110828042030334
594,1.0,0.9709327816963196
595,1.0,0.9891254901885986
596,1.0,0.9916096329689026
597,1.0,0.9991281628608704
598,1.0,0.9992104768753052
599,1.0,0.9993177652359009
600,1.0,0.9993109703063965
601,1.0,0.9988322854042053
602,1.0,0.9984537363052368
603,1.0,0.9976453185081482
604,1.0,0.9967330694198608
605,1.0,0.9952568411827087
606,1.0,0.9935680031776428
607,1.0,0.990803599357605
608,1.0,0.9918380379676819
609,1.0,0.9858714938163757
610,1.0,0.9827576279640198
611,1.0,0.9892345666885376
612,1.0,0.9886561632156372
613,1.0,0.976010799407959
614,1.0,0.9764285683631897
615,1.0,0.927568256855011
616,1.0,0.8834991455078125
617,1.0,0.5908761620521545
618,0.0,0.31739920377731323
619,0.0,0.19419674575328827
620,0.0,0.08140832185745239
621,0.0,0.08079645037651062
622,0.0,0.06307736039161682
